EMPLOYEE_ID , FIRST_NAME  , LAST_NAME   , EMAIL    , PHONE_NUMBER       , HIRE_DATE  , JOB_ID     , SALARY   
166, Sundar      , Ande        , SANDE    , 011.44.1346.629268 , 1987-08-22 , SA_REP     ,6400
167, Amit        , Banda       , ABANDA   , 011.44.1346.729268 , 1987-08-23 , SA_REP     ,6200
168, Lisa        , Ozer        , LOZER    , 011.44.1343.929268 , 1987-08-24 , SA_REP     ,11500
169, Harrison    , Bloom       , HBLOOM   , 011.44.1343.829268 , 1987-08-25 , SA_REP     ,10000
170, Tayler      , Fox         , TFOX     , 011.44.1343.729268 , 1987-08-26 , SA_REP     ,9600
171, William     , Smith       , WSMITH   , 011.44.1343.629268 , 1987-08-27 , SA_REP     ,7400
172, Elizabeth   , Bates       , EBATES   , 011.44.1343.529268 , 1987-08-28 , SA_REP     ,7300
173, Sundita     , Kumar       , SKUMAR   , 011.44.1343.329268 , 1987-08-29 , SA_REP     ,6100
174, Ellen       , Abel        , EABEL    , 011.44.1644.429267 , 1987-08-30 , SA_REP     ,11000
175, Alyssa      , Hutton      , AHUTTON  , 011.44.1644.429266 , 1987-08-31 , SA_REP     ,8800
176, Jonathon    , Taylor      , JTAYLOR  , 011.44.1644.429265 , 1987-09-01 , SA_REP     ,8600
177, Jack        , Livingston  , JLIVINGS , 011.44.1644.429264 , 1987-09-02 , SA_REP     ,8400
178, Kimberely   , Grant       , KGRANT   , 011.44.1644.429263 , 1987-09-03 , SA_REP     ,7000
179, Charles     , Johnson     , CJOHNSON , 011.44.1644.429262 , 1987-09-04 , SA_REP     ,6200
180, Winston     , Taylor      , WTAYLOR  , 650.507.9876       , 1987-09-05 , SH_CLERK   ,3200
181, Jean        , Fleaur      , JFLEAUR  , 650.507.9877       , 1987-09-06 , SH_CLERK   ,3100
182, Martha      , Sullivan    , MSULLIVA , 650.507.9878       , 1987-09-07 , SH_CLERK   ,2500
183, Girard      , Geoni       , GGEONI   , 650.507.9879       , 1987-09-08 , SH_CLERK   ,2800
184, Nandita     , Sarchand    , NSARCHAN , 650.509.1876       , 1987-09-09 , SH_CLERK   ,4200
185, Alexis      , Bull        , ABULL    , 650.509.2876       , 1987-09-10 , SH_CLERK   ,4100
186, Julia       , Dellinger   , JDELLING , 650.509.3876       , 1987-09-11 , SH_CLERK   ,3400
187, Anthony     , Cabrio      , ACABRIO  , 650.509.4876       , 1987-09-12 , SH_CLERK   ,3000
188, Kelly       , Chung       , KCHUNG   , 650.505.1876       , 1987-09-13 , SH_CLERK   ,3800
189, Jennifer    , Dilly       , JDILLY   , 650.505.2876       , 1987-09-14 , SH_CLERK   ,3600
190, Timothy     , Gates       , TGATES   , 650.505.3876       , 1987-09-15 , SH_CLERK   ,2900
191, Randall     , Perkins     , RPERKINS , 650.505.4876       , 1987-09-16 , SH_CLERK   ,2500
192, Sarah       , Bell        , SBELL    , 650.501.1876       , 1987-09-17 , SH_CLERK   ,4000
193, Britney     , Everett     , BEVERETT , 650.501.2876       , 1987-09-18 , SH_CLERK   ,3900
194, Samuel      , McCain      , SMCCAIN  , 650.501.3876       , 1987-09-19 , SH_CLERK   ,3200
195, Vance       , Jones       , VJONES   , 650.501.4876       , 1987-09-20 , SH_CLERK   ,2800
196, Alana       , Walsh       , AWALSH   , 650.507.9811       , 1987-09-21 , SH_CLERK   ,3100
197, Kevin       , Feeney      , KFEENEY  , 650.507.9822       , 1987-09-22 , SH_CLERK   ,3000
198, Donald      , OConnell    , DOCONNEL , 650.507.9833       , 1987-09-23 , SH_CLERK   ,2600
199, Douglas     , Grant       , DGRANT   , 650.507.9844       , 1987-09-24 , SH_CLERK   ,2600
200, Jennifer    , Whalen      , JWHALEN  , 515.123.4444       , 1987-09-25 , AD_ASST    ,4400
201, Michael     , Hartstein   , MHARTSTE , 515.123.5555       , 1987-09-26 , MK_MAN     ,13000
202, Pat         , Fay         , PFAY     , 603.123.6666       , 1987-09-27 , MK_REP     ,6000
203, Susan       , Mavris      , SMAVRIS  , 515.123.7777       , 1987-09-28 , HR_REP     ,6500
204, Hermann     , Baer        , HBAER    , 515.123.8888       , 1987-09-29 , PR_REP     ,10000
205, Shelley     , Higgins     , SHIGGINS , 515.123.8080       , 1987-09-30 , AC_MGR     ,12000
206, William     , Gietz       , WGIETZ   , 515.123.8181       , 1987-10-01 , AC_ACCOUNT ,8300
